,rates
AED,3.735227
AFN,89.985189
ALL,116.874791
AMD,410.09881
ANG,1.8304300000000002
AOA,436.462091
ARS,137.82638
AUD,1.4644979999999999
AWG,1.830505
AZN,1.728983
BAM,1.952235
BBD,2.050624
BDT,96.508792
BGN,1.9571049999999999
BHD,0.38340799999999997
BIF,2093.944874
BMD,1.016947
BND,1.40343
BOB,7.022968
BRL,5.254159
BSD,1.01563
BTC,4.3301323e-05
BTN,80.589018
BWP,12.775076
BYN,2.562482
BYR,19932.169606
BZD,2.04713
CAD,1.3109009999999999
CDF,2034.912045
CHF,0.9692879999999999
CLF,0.033081
CLP,912.815384
CNY,6.905581
COP,4418.178952
CRC,674.607801
CUC,1.016947
CUP,26.949107
CVE,110.062335
CZK,24.584093
DJF,180.807068
DKK,7.438965
DOP,54.74719
DZD,144.501842
EGP,19.494779
ERN,15.254211
ETB,53.532128
EUR,1.0
FJD,2.231222
FKP,0.837563
GBP,0.843517
GEL,2.844548
GGP,0.837563
GHS,9.622556
GIP,0.837563
GMD,55.169824
GNF,8767.342338
GTQ,7.857216
GYD,212.589139
HKD,7.977597
HNL,24.985992
HRK,7.517785
HTG,130.510533
HUF,404.714302
IDR,15078.279528
ILS,3.297727
IMP,0.837563
INR,80.95766
IQD,1482.290562
IRR,43016.876038
ISK,140.511386
JEP,0.837563
JMD,153.705705
JOD,0.721727
JPY,137.539067
KES,121.726658
KGS,82.577452
KHR,4164.155115
KMF,492.45656
KPW,915.253042
KRW,1344.297646
KWD,0.312173
KYD,0.8463419999999999
KZT,484.497863
LAK,15470.313511
LBP,1535.772083
LKR,365.621557
LRD,156.15172
LSL,16.657329
LTL,3.002781
LVL,0.6151409999999999
LYD,4.954876
MAD,10.589401
MDL,19.535328
MGA,4190.633515
MKD,61.649095
MMK,2132.791453
MNT,3249.107947
MOP,8.202895
MRO,363.050057
MUR,46.41814
MVR,15.610589
MWK,1042.432502
MXN,20.324201
MYR,4.549824
MZN,64.912001
NAD,16.657516
NGN,427.586049
NIO,36.501147
NOK,9.823895
NPR,128.944566
NZD,1.618401
OMR,0.391011
PAB,1.01563
PEN,3.900118
PGK,3.579344
PHP,56.815822
PKR,218.103292
PLN,4.721076
PYG,6983.341122
QAR,3.702747
RON,4.8804359999999996
RSD,117.36915
RUB,60.432156
RWF,1060.297605
SAR,3.8188329999999997
SBD,8.387311
SCR,13.413593
SDG,577.626354
SEK,10.580036
SGD,1.405218
SHP,1.400744
SLL,14171.162483
SOS,575.592222
SRD,24.583676
STD,21048.75857
SVC,8.886636
SYP,2555.1113
SZL,16.843485
THB,36.234345
TJS,10.38478
TMT,3.5694850000000002
TND,3.194225
TOP,2.379755
TRY,18.275458
TTD,6.8901129999999995
TWD,30.524086
TZS,2371.521916
UAH,37.501546
UGX,3838.861386
USD,1.016947
UYU,40.731399
UZS,11116.230965
VND,23802.671521
VUV,118.022931
WST,2.7126669999999997
XAF,654.751364
XAG,0.051320000000000005
XAU,0.000575
XCD,2.748352
XDR,0.771879
XOF,654.751364
XPF,119.566871
YER,254.49093
ZAR,17.013266
ZMK,9153.749511
ZMW,16.366663
ZWL,327.456657
